X,Y,OBJECTID_1,StationDesignation,FuelTypeCode,StationName,StreetAddress,IntersectionDirections,City_1,State,ZIP_1,Plus4,StationPhone,StatusCode,ExpectedDate,GroupsWithAccessCode,AccessDaysTime,CardsAccepted,BDBlends,NGFillTypeCode,NGPSI,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,EVOtherInfo,EVNetwork,EVNetworkWeb,GeocodeStatus,Latitude,Longitude,DateLastConfirmed,ID,UpdatedAt,OwnerTypeCode,FederalAgencyID,FederalAgencyName,OpenDate,HydrogenStatusLink,NGVehicleClass,LPGPrimary,E85BlenderPump,EVConnectorTypes,Country,IntersectionDirectionsFrench,AccessDaysTimeFrench,BDBlendsFrench,GroupsWithAccessCodeFrench,HydrogenIsRetail,AccessCode,AccessDetailCode,FederalAgencyCode,FacilityType,CNGDispenserNum,CNGOnSiteRenewableSource,CNGTotalCompressionCapacity,CNGStorageCapacity,LNGOnSiteRenewableSource,E85OtherEthanolBlends,EVPricing,EVPricingFrench,LPGNozzleTypes,HydrogenPressures,HydrogenStandards,CNGFillTypeCode,CNGPSI,CNGVehicleClass,LNGVehicleClass,EVOnSiteRenewableSource,RestrictedAccess,RDBlends,RDBlendsFrench,RDBlendedwithBiodiesel,RDMaximumBiodieselLevel,NPSUnitName,CNGStationSellsRenewableNatural,LNGStationSellsRenewableNatural,MaximumVehicleClass,EVWorkplaceCharging,EVTotalPortCountBeta,EVCHAdeMOPortCountBeta,EVJ1772PortCountBeta,EVCCSPortCountBeta,EVNEMA1450PortCountBeta,EVNEMA515PortCountBeta,EVNEMA520PortCountBeta,EVTeslaPortCountBeta,EVCCS150pluskWPortCountBeta
-236912.57019509,50333.941102555,12,NEVI Compliant,ELEC,Santa Rosa Plaza,1071 Santa Rosa Plaza,,Santa Rosa,CA,95401,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,38.43861,-122.71778,2024/03/07 00:00:00+00,147646,2024/03/07 03:22:09,,,,2019/11/09 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
250927.532145051,-449261.369086161,13,NEVI Compliant,ELEC,"Walmart 1899 - Riverside, CA",6250 Valley Springs Parkway,,Riverside,CA,92507,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.93972,-117.2856,2024/03/07 00:00:00+00,149153,2024/03/07 03:21:34,,,,2019/11/14 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
67127.4409524957,26875.999666377,14,NEVI Compliant,ELEC,Bridgeport Shell,453 Main Street,,Bridgeport,CA,93517,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,38.25569,-119.23194,2024/03/07 00:00:00+00,149421,2024/03/07 03:21:10,,,,2019/11/22 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
262258.49093015,-491715.59430827,15,NEVI Compliant,ELEC,"Sam's Club 4822 - Murrieta, CA",40500 MURRIETA HOT SPRINGS RD.,,Murrieta,CA,92563,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.55405,-117.17677,2024/03/07 00:00:00+00,149639,2024/03/07 03:21:03,,,,2019/11/28 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-170755.783762548,40774.4464691896,16,NEVI Compliant,ELEC,Vacaville Premium Outlets,321 Nut Tree Road,,Vacaville,CA,95687,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,38.36731,-121.95685,2024/03/07 00:00:00+00,149834,2024/03/07 03:22:08,,,,2019/12/10 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,1,0,8,0,0,0,0,8
-62616.4247045428,-264926.976762237,17,NEVI Compliant,ELEC,BOA Paso Robles CA1-109,1511 Spring Street,,Paso Robles,CA,93446,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,35.6306,-120.6921,2024/03/07 00:00:00+00,150384,2024/03/07 03:22:12,,,,2019/12/20 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-200496.131061684,-22800.6349189784,18,NEVI Compliant,ELEC,"Target T2829 - Alameda, CA",2700 5th Street,,Alameda,CA,94501,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,37.78958,-122.28003,2024/03/07 00:00:00+00,150477,2024/03/07 03:20:38,,,,2019/12/21 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
241499.568813862,-395717.873600995,19,NEVI Compliant,ELEC,"Walmart 4340 - Hesperia, CA",13401 Main Street,,Hesperia,CA,92345,,833-632-2778,E,,Public,24 hours daily,,,,,,,10,,Electrify America,https://www.electrifyamerica.com/,GPS,34.42454,-117.37148,2024/03/07 00:00:00+00,151969,2024/03/07 03:20:22,,,,2020/01/01 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,1,0,10,0,0,0,0,10
185014.029692355,-460130.677287834,20,NEVI Compliant,ELEC,"Target T2082 - Buena Park, CA",7530 Orangethorpe Avenue,,Buena Park,CA,90621,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,33.85652,-118.00085,2024/03/07 00:00:00+00,151971,2024/03/07 03:21:17,,,,2020/01/01 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
-138840.168617634,-109136.439718235,21,NEVI Compliant,ELEC,Gilroy Premium Outlets,681 Leavesley Road,,Gilroy,CA,95020,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,37.02431,-121.56286,2024/03/07 00:00:00+00,152120,2024/03/07 03:22:13,,,,2020/01/04 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,1,0,8,0,0,0,0,8
-57302.3765380188,-319810.781842588,22,NEVI Compliant,ELEC,Pismo Beach Premium Outlets,333 Five Cities Drive,,Pismo Beach,CA,93449,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,35.13678,-120.62934,2024/03/07 00:00:00+00,152395,2024/03/07 03:22:12,,,,2020/01/11 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-17963.0494430879,144877.166170221,23,NEVI Compliant,ELEC,"Save Mart 627 - Truckee, CA",11399 Deerfield Drive.,,Truckee,CA,96161,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,39.31959,-120.20852,2024/03/07 00:00:00+00,152396,2024/03/07 03:21:04,,,,2020/01/11 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-129551.823701998,-28267.5821231594,24,NEVI Compliant,ELEC,"Walmart 2025 - Tracy, CA",3010 W Grant Line Road,,Tracy,CA,95304,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,37.75304,-121.47246,2024/03/07 00:00:00+00,153521,2024/03/07 03:22:10,,,,2020/02/07 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-191686.018128667,-61648.0998858307,25,NEVI Compliant,ELEC,Stanford Shopping Center,660 Stanford Shopping Center,,Palo Alto,CA,94304,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,37.44208,-122.16977,2024/03/07 00:00:00+00,153726,2024/03/07 03:22:09,,,,2020/02/14 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
-120647.031287525,4663.33557321038,26,NEVI Compliant,ELEC,"Walmart 3352 - Stockton, CA",10355 Trinity Parkway,,Stockton,CA,95219,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,38.05044,-121.3767,2024/03/07 00:00:00+00,153875,2024/03/07 03:23:02,,,,2020/02/21 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,1,0,8,0,0,0,0,8
60221.5512168785,-198630.572072584,27,NEVI Compliant,ELEC,"Walmart 2536 - Tulare, CA",1110 E. Prosperity Ave.,,Tulare,CA,93274,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,36.22745,-119.32921,2024/03/07 00:00:00+00,153897,2024/03/07 03:22:28,,,,2020/02/22 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-353722.64001057,314561.289423726,28,NEVI Compliant,ELEC,Eureka-Bayshore Mall,3300 Broadway Street,,Eureka,CA,95501,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,40.77697,-124.19025,2024/03/07 00:00:00+00,154187,2024/03/07 03:21:53,,,,2020/02/29 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
229620.618942155,-455308.806873227,29,NEVI Compliant,ELEC,"Walmart 1912 - Corona, CA",479 McKinley St.,,Corona,CA,92879,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.89048,-117.51769,2024/03/07 00:00:00+00,154710,2024/03/07 03:22:28,,,,2020/03/25 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-147217.973354412,-142951.121046374,30,NEVI Compliant,ELEC,"Walmart 2458 - Salinas, CA",1800 North Main St.,,Salinas,CA,93906,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,36.71885,-121.65052,2024/03/07 00:00:00+00,154711,2024/03/07 03:21:36,,,,2020/03/25 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
274690.446790534,-343741.377537249,31,NEVI Compliant,ELEC,"Walmart 1879 - Barstow, CA",301 Montara Road,,Barstow,CA,92311,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,34.88372,-116.99251,2024/03/07 00:00:00+00,154846,2024/03/07 03:20:27,,,,2020/03/31 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,1,0,8,0,0,0,0,8
216627.322317081,-492600.495226616,32,NEVI Compliant,ELEC,Shops at Mission Viejo,555 Shops Blvd.,,Mission Viejo,CA,92691,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.55726,-117.66801,2024/03/07 00:00:00+00,155195,2024/03/07 03:20:34,,,,2020/04/04 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
190747.595376808,-462279.718204744,33,NEVI Compliant,ELEC,Walmart 2242 Anaheim,440 N. Euclid St.,,Anaheim,CA,92801,,833-632-2778,E,,Public,24 hours daily,,,,,,,10,,Electrify America,https://www.electrifyamerica.com/,GPS,33.83604,-117.93942,2024/03/07 00:00:00+00,155557,2024/03/07 03:22:47,,,,2020/04/24 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,1,0,10,0,0,0,0,8
248560.413452512,-437173.583628593,34,NEVI Compliant,ELEC,Walmart 1692 Colton,1120 S. Mount Vernon Avenue,,Colton,CA,92324,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,34.04926,-117.30748,2024/03/07 00:00:00+00,155575,2024/03/07 03:23:04,,,,2020/04/25 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
86185.3037775712,-421565.014579892,35,NEVI Compliant,ELEC,"Camarillo Premium Outlets (Camarillo, CA)",740 Ventura Blvd,,Camarillo,CA,93010,,833-632-2778,E,,Public,24 hours daily,,,,,,,10,,Electrify America,https://www.electrifyamerica.com/,GPS,34.21794,-119.06452,2024/03/07 00:00:00+00,157990,2024/03/07 03:21:20,,,,2020/05/29 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,1,0,10,0,0,0,0,10
278298.735822549,-603044.475797441,36,NEVI Compliant,ELEC,Las Americas Premium Outlets,4211 Camino De La Plaza,,San Diego,CA,92173,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,32.54525,-117.04159,2024/03/07 00:00:00+00,163499,2024/03/07 03:22:27,,,,2020/06/19 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-214599.940013288,-58864.8953486094,37,NEVI Compliant,ELEC,BOA Half Moon Bay CA5-109,620 Main St,,Half Moon Bay,CA,94019,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,37.46211,-122.42984,2024/03/07 00:00:00+00,164429,2024/03/07 03:22:11,,,,2020/07/22 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
184851.048531446,-216857.315274833,38,NEVI Compliant,ELEC,Coso Junction Store,20 Gills Station Road,,Olancha,CA,93549,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,36.04731,-117.94566,2024/03/07 00:00:00+00,164458,2024/03/07 03:20:16,,,,2020/07/23 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-218943.010428086,-26296.5126723312,39,NEVI Compliant,ELEC,"Safeway 0985 - San Francisco, CA",2350 Noriega St.,,San Francisco,CA,94122,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,37.75397,-122.48867,2024/03/07 00:00:00+00,165184,2024/03/07 03:22:13,,,,2020/08/12 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
294806.085620442,-449331.940703275,40,NEVI Compliant,ELEC,Desert Hills Premium Outlets,48400 Seminole Dr.,,Cabazon,CA,92230,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.92677,-116.8113,2024/03/07 00:00:00+00,165415,2024/03/07 03:21:03,,,,2020/08/25 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
290545.223806546,-571881.735117152,41,NEVI Compliant,ELEC,Walmart 2253 El Cajon,13487 Camino Canada,,El Cajon,CA,92021,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,32.82299,-116.90067,2024/03/07 00:00:00+00,165515,2024/03/07 03:22:56,,,,2020/08/26 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,5
-55861.5619031796,-153068.651667278,42,NEVI Compliant,ELEC,Panoche Shell,46331 W Panoche Road,,Firebaugh,CA,93622,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,36.63769,-120.6256,2024/03/07 00:00:00+00,165642,2024/03/07 03:21:49,,,,2020/08/28 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,1,0,6,0,0,0,0,6
356155.348362687,-298704.747532347,43,NEVI Compliant,ELEC,"Ultra Gas and Mart (Baker, CA)",71808 Baker Blvd,,Baker,CA,92309,,833-632-2778,E,,Public,24 hours daily,,,,,,,12,,Electrify America,https://www.electrifyamerica.com/,GPS,35.26226,-116.0811,2024/03/07 00:00:00+00,165658,2024/03/07 03:21:04,,,,2020/08/28 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12,1,0,12,0,0,0,0,12
195724.737111328,-453441.794265963,44,NEVI Compliant,ELEC,Brea Mall,1065 Brea Mall Drive,,Brea,CA,92821,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.91472,-117.88354,2024/03/07 00:00:00+00,166907,2024/03/07 03:21:18,,,,2020/09/17 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-118222.752235302,-177177.659485288,45,NEVI Compliant,ELEC,Foods Co 387,2443-H DELA ROSA SR ST,,Soledad,CA,93960,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,36.41501,-121.32015,2024/03/07 00:00:00+00,167524,2024/03/07 03:22:11,,,,2020/10/14 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
260414.686310054,-435955.402583757,46,NEVI Compliant,ELEC,"BOA Redlands Main CA6-130 (Redlands, CA)",305 E STATE ST,,Redlands,CA,92373,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,34.05713,-117.17875,2024/03/07 00:00:00+00,167525,2024/03/07 03:22:34,,,,2020/10/14 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
